,creation_year_month,affiliate,amfm_radio,direct_mail,facebook,facebook_organic,other,ott,pinterest,podcast,public_radio,referral,search,sirius xm,social_organic,tv,youtube
0,201906,16.0,,2.0,1619.0,,56.0,,60.0,2.0,8.0,124.0,55.0,,42.0,637.0,3.0
1,201907,157.0,,22.0,14451.0,2.0,737.0,,1000.0,108.0,508.0,1808.0,536.0,3.0,392.0,5507.0,85.0
2,201908,191.0,,40.0,15399.0,,1095.0,1.0,953.0,154.0,784.0,1983.0,786.0,100.0,488.0,3033.0,264.0
3,201909,175.0,,26.0,11702.0,2.0,599.0,,764.0,196.0,723.0,2030.0,783.0,123.0,390.0,2334.0,209.0
4,201910,197.0,,48.0,13418.0,2.0,649.0,5.0,858.0,266.0,906.0,2197.0,853.0,153.0,456.0,1957.0,274.0
5,201911,216.0,,93.0,16930.0,135.0,711.0,116.0,800.0,249.0,845.0,2388.0,864.0,131.0,470.0,2387.0,312.0
6,201912,184.0,,21.0,13394.0,154.0,656.0,147.0,973.0,297.0,788.0,2419.0,1032.0,110.0,431.0,4279.0,245.0
7,202001,230.0,91.0,92.0,10157.0,146.0,600.0,187.0,936.0,548.0,583.0,2526.0,1151.0,151.0,386.0,6074.0,725.0
8,202002,343.0,126.0,44.0,11809.0,157.0,726.0,482.0,855.0,622.0,597.0,2758.0,1344.0,186.0,441.0,6807.0,546.0
9,202003,253.0,120.0,20.0,10247.0,167.0,667.0,505.0,657.0,553.0,477.0,2649.0,1088.0,165.0,373.0,6889.0,445.0
