,creation_year_month,affiliate,appstore,bing,bing_organic,brand sem intent bing,brand sem intent google,content_greatist,criteo,direct_mail,discovery,display,email,email_blast,facebook,facebook_organic,google_organic,influencer,internal,organic,other,ott,pinterest,pinterest_organic,playstore,podcast,quora,referral,samsung,search,tv,twitter,vod,youtube
0,201906,78.0,,7.0,2.0,40.0,197.0,,,,,3.0,309.0,109.0,1318.0,33.0,131.0,1.0,32.0,219.0,14.0,,37.0,,,,,22.0,2.0,108.0,,,,1.0
1,201907,839.0,,120.0,45.0,231.0,2090.0,,14.0,,,44.0,3260.0,1510.0,10011.0,328.0,1312.0,,271.0,2640.0,211.0,,793.0,5.0,,33.0,,528.0,82.0,1328.0,,5.0,,8.0
2,201908,1903.0,,71.0,39.0,158.0,1895.0,2.0,18.0,,265.0,74.0,3092.0,1902.0,9855.0,318.0,680.0,,187.0,1658.0,152.0,,637.0,2.0,,49.0,,521.0,2.0,1939.0,,,,15.0
3,201909,1065.0,,84.0,33.0,120.0,1530.0,,10.0,,688.0,12.0,2420.0,1582.0,6129.0,979.0,730.0,4.0,101.0,1418.0,200.0,,517.0,1.0,,54.0,77.0,582.0,,1852.0,,,,2.0
4,201910,760.0,,86.0,29.0,130.0,1602.0,1.0,2.0,7.0,400.0,50.0,2305.0,977.0,9489.0,261.0,921.0,,138.0,1466.0,129.0,,682.0,4.0,,84.0,12.0,529.0,,2333.0,,,4.0,11.0
5,201911,509.0,,103.0,27.0,255.0,2030.0,,,41.0,503.0,90.0,2584.0,629.0,12995.0,359.0,930.0,7.0,87.0,1640.0,164.0,12.0,594.0,2.0,,81.0,11.0,587.0,,2510.0,4.0,,27.0,47.0
6,201912,565.0,3.0,28.0,38.0,126.0,2443.0,,,3.0,341.0,112.0,2677.0,411.0,9288.0,254.0,890.0,1.0,124.0,2377.0,152.0,6.0,851.0,6.0,,94.0,,666.0,,3770.0,,,37.0,76.0
7,202001,1074.0,13.0,172.0,37.0,360.0,2626.0,1.0,,64.0,233.0,536.0,2368.0,35.0,6289.0,245.0,1275.0,2.0,52.0,3050.0,263.0,36.0,819.0,4.0,4.0,198.0,,584.0,,4073.0,,,60.0,370.0
8,202002,1480.0,10.0,303.0,23.0,483.0,2346.0,,,22.0,91.0,341.0,3168.0,66.0,7988.0,280.0,1593.0,3.0,63.0,3419.0,239.0,69.0,680.0,3.0,6.0,228.0,,583.0,,4300.0,,,97.0,205.0
9,202003,1621.0,18.0,172.0,96.0,328.0,1765.0,1.0,,2.0,50.0,145.0,3507.0,56.0,6889.0,215.0,2229.0,3.0,67.0,4126.0,262.0,35.0,455.0,3.0,2.0,164.0,,568.0,,3093.0,,,72.0,178.0
